"filename", "language", "JSON", "TypeScript", "XML", "TypeScript JSX", "Prisma", "Markdown", "CSV", "MS SQL", "JavaScript", "JSON with Comments", "Dotenv", "CSS", "comment", "blank", "total"
"/home/denis/vscode_projects/project-game-atlas/packages/backend/src/app/modules/game/repositories/games/abstracts/igame-read.repository.ts", "TypeScript", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"/home/denis/vscode_projects/project-game-atlas/packages/backend/src/app/modules/game/repositories/games/implementations/game-read.repository.ts", "TypeScript", 0, -15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -15
"/home/denis/vscode_projects/project-game-atlas/packages/backend/src/app/modules/game/repositories/genres/genres/abstracts/igenre-read.repository.ts", "TypeScript", 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2
"/home/denis/vscode_projects/project-game-atlas/packages/backend/src/app/modules/game/repositories/genres/genres/implementations/genre-read.repository.ts", "TypeScript", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12
"/home/denis/vscode_projects/project-game-atlas/packages/backend/src/app/modules/game/repositories/keywords/game-keywords/abstracts/igame-keyword-read.repository.ts", "TypeScript", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 6
"/home/denis/vscode_projects/project-game-atlas/packages/backend/src/app/modules/game/repositories/keywords/game-keywords/implementations/game-keyword-read.repository.ts", "TypeScript", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 18
"/home/denis/vscode_projects/project-game-atlas/packages/backend/src/app/modules/game/repositories/keywords/keywords/abstracts/ikeyword-read.repository.ts", "TypeScript", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7
"/home/denis/vscode_projects/project-game-atlas/packages/backend/src/app/modules/game/repositories/keywords/keywords/implementations/keyword-read.repository.ts", "TypeScript", 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 27
"/home/denis/vscode_projects/project-game-atlas/packages/backend/src/app/modules/game/repositories/platforms/platform-type/abstracts/index.ts", "TypeScript", 0, -2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, -4
"/home/denis/vscode_projects/project-game-atlas/packages/backend/src/app/modules/game/repositories/platforms/platform-type/abstracts/iplatform-type-read.repository.ts", "TypeScript", 0, -3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -3, -6
